context_id	word	gold_sense_id	predict_sense_id	positions	context
51	граф	2		272-276, 370-374, 402-406	"точки и ребра принадлежат . то есть , в решении кантора координатами вершин многоугольника являются комплексные числа . решение кантора для "" p "" , пара взаимно вписанных четырехугольника на комплексной проективной плоскости , называется конфигурацией мебиуса - кантора . граф мебиуса - кантора получил свое имя от конфигурации мебиуса - кантора , поскольку он является графом леви этой конфигурации . граф имеет одну вершину для каждой точки конфигурации и по точке для каждой тройки , а ребра соединяют две вершины , если одна вершина соответствует точке , а"
852	граф	1		156-160, 278-282	казнен за участие в благодатном паломничестве , католическом восстании против короля генриха viii , то его дети оказались лишены права наследования и титул графа нортумберленда был объявлен угасшим . в году был создан титул герцога нортумберленда , который получил джон дадли , граф уорик , который с года был регентом англии при малолетнем эдуарде vi . после смерти эдуарда он пытался возвести на престол джейн грей , на которой женил своего сына гилфорда , но неудачно . на престол взошла мария тюдор , сестра эдуарда
853	граф	2		35-39, 50-54, 146-150, 187-191, 281-285, 335-339	, диаметром и обхватом . как и все графы халина , граф фрухта является планарным , - вершинно - связным и . он также является реберно k - связным графом . его число независимости равно . граф фрухта является гамильтоновым и может быть построен по [− ,− ,− , , ,− , , ,− ,− , , ] . граф фрухта — это один из двух минимальных кубических графов , имеющих единственный автоморфизм — тождественность ( таким образом , любая вершина может быть топологически
854	граф	2		17-21, 29-33, 153-157, 338-342	"относительно дуг граф "" )  — граф "" g "" , для любых двух пар смежных вершин которого "" u "" — "" v "" и "" u "" — "" v "" имеется автоморфизм другими словами , граф симметричен , если его группа автоморфизмов действует транзитивно на упорядоченных парах смежных вершин ( таким образом , на всех ребрах как если бы они имели ориентацию ) . такие графы иногда называют также - транзитивными относительно дуг или флаг - транзитивными . по"
855	граф	1		11-15, 49-53	ульрих i ( граф вюртемберга ) ульрих i (  — )  — граф вюртемберга с года . историк хансмартин декер - хауфф ( hansmartin decker - hauff] ) считает ульриха сыном германа вюртембергского и его жены ирменгарды фон ультен . этот герман упоминается всего один раз ( в документах
856	граф	1		13-17, 60-64	гильом vii ( граф оверни ) гильом vii молодой ( ок . — )  — граф оверни с года . был лишен большей части владений своим дядей гильомом viii . родоначальник династии дофинов оверни . в году гильом молодой и его отец роберт iii отправились в крестовый поход . роберт умер
857	граф	1		12-16, 50-54, 128-132	бернар iv ( граф комменжа ) бернар iv ( ум . )  — граф комменжа с года . сын бернара iii и незаконнорожденной дочери тулузского графа альфонса журдена , имя которой возможно было лорантина или лаура . участник альбигойских войн на стороне катаров . после смерти бернара iii его сыновья поделили отцовское наследство .
858	граф	1		247-251	тех трехсот мужчин , которых эдуард i посвятил в рыцари на лебедином пиру мая года , и получил королевское денежное содержание . при этом роджер оказался в компании молодежи — друзей юного эдуарда , принца уэльского , куда входили пьер гавестон и граф глостер . дружба между пьером гавестоном и эдуардом , принцем уэльским , привела к тому , что гавестон был назначен генерал - лейтенантом ирландии в году , и в — годах роджер жил в ирландии
859	граф	2		138-142, 188-192, 246-250, 290-294, 329-333, 372-376, 442-446, 534-538, 554-558	немецкого математика и он демонстрирует необходимость предположения планарности в ( grötzsch ) , которая утверждает , что любой планарный граф без треугольников можно раскрасить в цвета . граф греча является членом бесконечной последовательности графов без треугольников , в которой каждый граф является мыцелскианом предыдущего графа , начиная с . эта последовательность графов была использована мыцельским , чтобы показать , что существуют графы без треугольников с произвольно большим хроматическим числом . по этой причине иногда граф греча называют графом мыцельского или мыцельского–греча . в отличие от
860	граф	2		30-34, 89-93, 205-209, 210-214, 295-299, 343-347, 357-361, 530-534, 558-562	np - полными для произвольных графов , такие как нахождение независимого множества , для графов халина можно решить за линейное время при использовании динамического программирования . слабый двойственный граф графа халина всегда двусвязен и . это свойство можно использовать для характеризации графов халина — вложенный в плоскость планарный граф является графом халина с циклом через листья как внешней грани вложения тогда и только тогда , когда его слабый двойственный двусвязен и внешнепланарен . в халин ( halin ) предложил графы ( получившие название графов халина ) как класс
