context_id	word	gold_sense_id	predict_sense_id	positions	context
1	замок	1		0-5, 339-344	замок владимира мономаха в любече . многочисленные укрепленные монастыри также не являлись замками как таковыми — это были крепости . ранние европейские замки строились преимущественно из дерева они опоясывались деревянной оградой — палисадом уже тогда вокруг замков стали появляться рвы . примером такого замка может служить вышгородский замок киевских князей . каменное замковое строительство распространилось в западной и центральной европе лишь к xii веку . главной частью средневекового замка являлась центральная башня — донжон , выполнявшая функции цитадели . помимо своих оборонительных функций , донжон являлся непосредственным жилищем феодала . также в главной башне
4	замок	1		111-116	топи с . , л . белокуров легенда о завещании мавра с . , н . юсупов день рождения с . , р . янушкевич янтарный замок с . .
5	замок	1		134-139, 262-267	"великий князь литовский гедимин после успешной охоты обнаружил прекрасное место недалеко от города кернаве , решил воздвигнуть на нем замок и перенести сюда столицу . во второй половине xiv века здесь , в старых троках ( "" сянейи тракай "" ) , уже стоял каменный замок . правил им в — сын гедимина трокский князь кейстут . около года в этом замке родился витовт . в году кейстут перенес свою столицу из старых трок"
95	замок	1		19-24, 39-44	заполнялся водой и замок превращался в замок на воде . со временем структура замков усложнялась в территорию замков включались уже казармы , суд , храм , тюрьма и другие сооружения ( замок куси во франции , xiii век замок вартбург в германии , xi век замок харлек в великобритании , xiii век ) . с началом массового применения пороха начинается закат эпохи строительства замков . так , осаждающие начали проводить в случае , если это позволял грунт , саперные работы — незаметно копать сапы , позволявшие подвести под стены большие заряды взрывчатого вещества
96	замок	1		163-168	без каминов и очагов . у входа в башню было построено гранитное крыльцо , а внутри башни — металлическая лестница для подъема на смотровую площадку . в таком виде замок дошел до наших дней . во время войн — годов замок пострадал не сильно , разве что от нескольких пожаров , и после победы был передан советским военным . в году министерство обороны ссср передало замок под будущий музей , который открылся в году , после тщательного изучения ансамбля
97	замок	1		221-226, 276-281	v . в том сражении шотландцы потерпели сокрушительное поражение , кроме того англичане пленили роберта , - го лорда максвелла . вскоре он был освобожден , но ненадолго — в г . англичане вновь взяли его в плен и захватили замок керлаверок . через год шотландцам удалось отбить замок . известно , что в г . хозяином замка был роберт , - й лорд максвелл и что керлаверок был отлично укреплен и внутри него работало много людей .
117	замок	2		275-280	. изобретатель поставил в тыльный конец ригеля круглую пластину , которая препятствовала передвижению засова ключом , пока пластина ( вращаемая часовым механизмом ) не становилась на ось ригеля пазом . в  г . в сша джеймс саргент запатентовал первый перестраиваемый ключевой замок . среди прочих знаменитых замков отметим protector , патент на который в ( ? ) г . получил теодор кромер ( theodor kromer ) из фрайбурга ( германия ) .
135	замок	2		223-228	ключ в таком замке не имел бородки в привычном понимании — это был цилиндр , на конце которого прорезаны продольные пазы разной длины . в  г . англичане братья джереми и чарльз чебб ( chubb ) получили патент на детекторный замок , который принято считать базовым для современных сувальдных систем . прологом настоящей революции стал  г . , когда американский изобретатель линус йейл - старший ( linus yale sr . ) запатентовал конструкцию , в которой использовал принцип древнеегипетского
136	замок	2		140-145, 168-173	бизнесмен из российского города павлово ( на оке ) . размеры замка высота м  см , ширина м  см , толщина  см . вес замка с ключом ,  кг , ( замок ,  кг , ключ , кг ) . замок был зарегистрирован в книге рекордов россии и книге рекордов гиннеса . говорят , что если повернуть ключ , то играет мелодия на семи холмах  — гимн
137	замок	2		64-69, 265-270	) творчески переработал наработки отца и запатентовал штифтовой замок с маленьким плоским ключом , ставший наиболее распространенным замком хх века . отдельным видом замков стали сейфовые системы . в  г . вильям русерфорд ( william rutherford ) запатентовал первый замок с часовым механизмом . изобретатель поставил в тыльный конец ригеля круглую пластину , которая препятствовала передвижению засова ключом , пока пластина ( вращаемая часовым механизмом ) не становилась на ось ригеля пазом . в  г . в сша джеймс саргент
